Date,Open,High,Low,Close,Adj Close,Volume,EMA_5,EMA_10,EMA_20,EMA_50,EMA_100,EMA_200
16-10-2000,0.398438007,0.415179014,0.381695986,0.383929014,0.325877547,820176000,0.371651804,0.385714304,0.627887906,0.836997785,0.868500262,0.946176047
17-10-2000,0.387277007,0.391741008,0.351563007,0.359375,0.305036157,601720000,0.368973202,0.381808004,0.592341007,0.827064745,0.864302442,0.942975712
18-10-2000,0.347097993,0.376116008,0.334820986,0.359375,0.305036157,834265600,0.370759004,0.375558004,0.555803604,0.817555825,0.860184142,0.940196692
19-10-2000,0.342076004,0.353794992,0.327008992,0.338169992,0.287037581,1506724800,0.3669644,0.369977704,0.522098254,0.807354946,0.855747762,0.937244687
20-10-2000,0.340402007,0.363839,0.338169992,0.348214,0.295562804,791263200,0.357812601,0.365178603,0.492912954,0.797332625,0.851729902,0.934744687
23-10-2000,0.361885995,0.367188007,0.347097993,0.363839,0.308825344,551292000,0.353794599,0.362723202,0.463337053,0.787578146,0.847410702,0.932121917
24-10-2000,0.369419992,0.372768015,0.335938007,0.337054014,0.286090165,804451200,0.349330401,0.359151801,0.434263404,0.777511186,0.842516732,0.929443348
25-10-2000,0.340402007,0.342633992,0.329241008,0.330356985,0.280405849,663969600,0.343526798,0.357142901,0.407087052,0.767444226,0.837667402,0.926954508
26-10-2000,0.335938007,0.337054014,0.3125,0.330356985,0.280405849,721851200,0.341964197,0.354464298,0.37583705,0.756729946,0.832678562,0.924713992
27-10-2000,0.337054014,0.342633992,0.319195986,0.331472993,0.281353146,744503200,0.338615996,0.348214298,0.369419651,0.744988865,0.827371642,0.922052162
30-10-2000,0.341518015,0.356027007,0.334820986,0.344866008,0.292721003,639189600,0.334821397,0.344307998,0.365011151,0.734029045,0.822354903,0.919292677
31-10-2000,0.352679014,0.361606985,0.34375,0.349330008,0.29651016,885880800,0.337276596,0.343303499,0.362555751,0.722979925,0.817299092,0.916399262
01-11-2000,0.347097993,0.372768015,0.347097993,0.366070986,0.310719699,575366400,0.344419396,0.343973097,0.35976555,0.711841525,0.812818062,0.913472362
02-11-2000,0.377231985,0.400669992,0.376116008,0.398438007,0.338192821,590693600,0.3580356,0.349999899,0.359988801,0.700412965,0.808364942,0.910397587
03-11-2000,0.410714,0.410714,0.391741008,0.397320986,0.337244689,515821600,0.371205199,0.354910597,0.3600446,0.688320325,0.804263372,0.907414882
06-11-2000,0.400669992,0.404018015,0.372768015,0.382813007,0.32493034,393478400,0.378794599,0.356807998,0.3597656,0.675686406,0.799843732,0.904585642
07-11-2000,0.383929014,0.389508992,0.371652007,0.380580008,0.323035002,301963200,0.385044599,0.361160597,0.360156199,0.662561407,0.795507792,0.901477382
08-11-2000,0.381695986,0.382813007,0.353794992,0.358258992,0.30408901,422088800,0.3834822,0.363950798,0.36054685,0.648588186,0.790463152,0.898349592
09-11-2000,0.354911,0.366070986,0.340402007,0.360491008,0.305983454,476834400,0.3758928,0.3669642,0.360714249,0.634548006,0.785027882,0.895241332
10-11-2000,0.345703006,0.354911,0.340402007,0.340402007,0.288932055,422251200,0.364509004,0.367857102,0.3580357,0.619592645,0.778498862,0.892406512
13-11-2000,0.334820986,0.357143015,0.325893015,0.345981985,0.293668389,431816000,0.3571428,0.367968699,0.356138349,0.603856025,0.772360472,0.889504728
14-11-2000,0.356027007,0.366070986,0.349330008,0.361606985,0.306930721,409001600,0.353348196,0.369196397,0.356249948,0.588789066,0.766746632,0.886837318
